Nama Mesin;Tanggal-Jam;Durasi
Tombol9;12/22/2017 8:48:52 PM;00:01:02
Tombol9;12/22/2017 9:52:44 PM;00:00:02
Tombol9;12/23/2017 12:18:10 AM;00:00:16
Tombol9;12/23/2017 7:29:52 AM;00:00:14
Tombol9;12/23/2017 7:30:12 AM;00:00:04
Tombol9;12/23/2017 7:30:23 AM;00:00:05
Tombol9;12/23/2017 11:32:01 AM;00:00:11
Tombol9;12/23/2017 11:36:31 AM;00:00:14
Tombol9;12/23/2017 7:58:42 PM;00:00:20
Tombol8;12/22/2017 9:52:44 PM;00:01:11
Tombol8;12/23/2017 12:18:10 AM;00:00:14
Tombol8;12/23/2017 7:29:52 AM;00:00:15
Tombol8;12/23/2017 7:30:12 AM;00:00:04
Tombol8;12/23/2017 7:30:23 AM;00:00:04
Tombol8;12/23/2017 11:32:01 AM;00:00:14
Tombol8;12/23/2017 11:36:31 AM;00:00:10
Tombol8;12/23/2017 7:58:42 PM;00:00:14
Tombol7;12/22/2017 9:52:44 PM;00:01:14
Tombol7;12/23/2017 12:18:10 AM;00:00:14
Tombol34;12/22/2017 9:52:44 PM;00:01:12
Tombol34;12/23/2017 12:18:10 AM;00:00:12
Tombol34;12/23/2017 11:32:01 AM;00:00:12
Tombol34;12/23/2017 11:38:38 AM;00:02:18
Tombol33;12/22/2017 9:52:44 PM;00:01:10
Tombol33;12/23/2017 12:18:10 AM;00:00:14
Tombol33;12/23/2017 7:29:52 AM;00:00:12
Tombol33;12/23/2017 7:30:12 AM;00:00:01
Tombol33;12/23/2017 7:30:23 AM;00:00:07
Tombol33;12/23/2017 8:26:28 AM;00:00:04
Tombol33;12/23/2017 11:32:01 AM;00:00:10
Tombol33;12/23/2017 11:36:31 AM;00:00:13
Tombol32;12/22/2017 8:48:52 PM;00:00:57
Tombol32;12/23/2017 12:18:10 AM;00:00:15
Tombol32;12/23/2017 7:29:52 AM;00:00:10
Tombol32;12/23/2017 7:30:12 AM;00:00:06
Tombol32;12/23/2017 7:30:23 AM;00:00:06
Tombol32;12/23/2017 7:58:42 PM;00:00:02
Tombol31;12/22/2017 8:38:59 PM;00:00:04
Tombol31;12/22/2017 8:48:52 PM;00:00:05
Tombol31;12/22/2017 8:50:17 PM;00:00:01
Tombol31;12/22/2017 8:51:07 PM;00:00:04
Tombol31;12/23/2017 7:58:42 PM;00:00:03
Tombol12;12/23/2017 12:18:10 AM;00:00:14
Tombol12;12/23/2017 7:29:52 AM;00:00:11
Tombol12;12/23/2017 7:30:12 AM;00:00:08
Tombol12;12/23/2017 7:30:23 AM;00:00:06
Tombol12;12/23/2017 8:26:28 AM;00:00:03
Tombol12;12/23/2017 11:32:01 AM;00:00:09
Tombol12;12/23/2017 11:38:38 AM;00:02:14
Tombol12;12/23/2017 7:58:42 PM;00:00:01
Tombol11;12/22/2017 9:52:44 PM;00:01:07
Tombol11;12/23/2017 12:18:10 AM;00:00:13
Tombol11;12/23/2017 7:29:52 AM;00:00:12
Tombol11;12/23/2017 7:30:12 AM;00:00:01
Tombol11;12/23/2017 7:30:23 AM;00:00:03
Tombol11;12/23/2017 11:32:01 AM;00:00:11
Tombol11;12/23/2017 11:38:38 AM;00:02:10
Tombol11;12/23/2017 7:58:42 PM;00:00:16
Tombol10;12/22/2017 9:52:44 PM;00:01:12
Tombol10;12/23/2017 12:18:07 AM;00:00:02
Tombol10;12/23/2017 12:18:10 AM;00:00:06
Tombol1;12/22/2017 8:31:17 AM;00:15:40
Poly-7;12/23/2017 11:32:01 AM;00:00:12
Poly-7;12/23/2017 11:38:38 AM;00:02:19
Poly-34;12/23/2017 11:38:58 AM;00:00:55
Poly-32;12/23/2017 8:24:30 AM;00:00:30
Poly-32;12/23/2017 8:26:28 AM;00:00:01
Poly-32;12/23/2017 8:31:36 AM;00:00:14
poly-10;12/23/2017 11:32:01 AM;00:00:13
poly-10;12/23/2017 11:38:38 AM;00:02:22
CV31;12/22/2017 9:52:44 PM;00:00:04
CV31;12/23/2017 12:18:10 AM;00:00:19
CV31;12/23/2017 12:29:49 AM;00:00:00
CV31;12/23/2017 7:29:52 AM;00:00:09
CV31;12/23/2017 7:30:12 AM;00:00:05
CV31;12/23/2017 7:30:23 AM;00:00:05
CV31;12/23/2017 8:26:28 AM;00:00:01
CV31;12/23/2017 11:32:01 AM;00:00:09
CV31;12/23/2017 11:32:50 AM;00:00:03
CV31;12/23/2017 11:36:31 AM;00:00:15
CV31;12/23/2017 11:38:38 AM;00:00:01
C-32;12/23/2017 11:32:01 AM;00:00:08
C-32;12/23/2017 11:36:31 AM;00:00:14
C-32;12/23/2017 11:38:38 AM;00:00:02
