Nama Mesin;Tanggal-Jam;Durasi
Tombol11;22/12/2017 21.52.44;00:01:07
Tombol9;22/12/2017 21.52.44;00:00:02
CV31;22/12/2017 21.52.44;00:00:04
Tombol33;22/12/2017 21.52.44;00:01:10
Tombol8;22/12/2017 21.52.44;00:01:11
Tombol10;22/12/2017 21.52.44;00:01:12
Tombol34;22/12/2017 21.52.44;00:01:12
Tombol7;22/12/2017 21.52.44;00:01:14
Tombol31;22/12/2017 20.51.07;00:00:04
Tombol31;22/12/2017 20.50.17;00:00:01
Tombol31;22/12/2017 20.48.52;00:00:05
Tombol32;22/12/2017 20.48.52;00:00:57
Tombol9;22/12/2017 20.48.52;00:01:02
Tombol31;22/12/2017 20.38.59;00:00:04
Tombol1;22/12/2017 08.31.17;00:15:40
